"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"Console","Console",FALSE,0.809,1,NA,NA,NA,NA
"Operation",2,"library(getLattes)","library(getLattes)",FALSE,0.481999999999999,1,1,1,1,18
"Operation",3,"data(xmlsLattes)","data(xmlsLattes)",FALSE,0.0510000000000002,1,2,1,2,16
"Operation",4,"length(xmlsLattes)","length(xmlsLattes)",FALSE,151.313,1,3,1,3,18
"Operation",5,"library(dplyr)","library(dplyr)",FALSE,0.0320000000000107,1,4,1,4,14
"Operation",6,"getDadosGerais(xmlsLattes[[2]])","getDadosGerais(xmlsLattes[[2]])",FALSE,0.436000000000007,1,5,1,5,31
"Operation",7,"lt <- lapply(xmlsLattes, getDadosGerais)","lt <- lapply(xmlsLattes, getDadosGerais)",FALSE,0.0649999999999977,1,6,1,6,40
"Operation",8,"head(bind_rows(lt))","head(bind_rows(lt))",FALSE,0.109000000000009,1,7,1,7,19
"Operation",9,"getArtigosPublicados(xmlsLattes[[2]])","getArtigosPublicados(xmlsLattes[[2]])",FALSE,0.335000000000008,1,8,1,8,37
"Operation",10,"lt <- lapply(xmlsLattes, getArtigosPublicados)","lt <- lapply(xmlsLattes, getArtigosPublicados)",FALSE,0.556000000000012,1,9,1,9,46
"Operation",11,"head(bind_rows(lt))","head(bind_rows(lt))",FALSE,0.131999999999977,1,10,1,10,19
"Finish",12,"Console","Console",FALSE,0.203000000000003,1,NA,NA,NA,NA
