"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"Console","Console",FALSE,0.502999999999997,1,NA,NA,NA,NA
"Operation",2,"library(Rocc)","library(Rocc)",FALSE,0.0129999999999981,1,1,1,1,13
"Operation",3,"species <- c(""Asplenium truncorum"")","species <- c(""Asplenium truncorum"")",FALSE,0.240000000000002,1,2,1,2,35
"Operation",4,"data_splink <- rspeciesLink(species = species, filename = ""s","data_splink <- rspeciesLink(species = species, filename = ""s",FALSE,1.223,1,3,1,3,72
"Operation",5,"data_gbif <- rgbif2(species = species, filename = ""gbif"")","data_gbif <- rgbif2(species = species, filename = ""gbif"")",FALSE,0.899999999999999,1,4,1,4,57
"Operation",6,"species_name_raw <- unique(data_splink$scientificName)","species_name_raw <- unique(data_splink$scientificName)",FALSE,0.036999999999999,1,5,1,5,54
"Operation",7,"species_name_check <- check_string(species_name_raw)","species_name_check <- check_string(species_name_raw)",FALSE,0.0280000000000022,1,6,1,6,52
"Operation",8,"species_name_check","species_name_check",FALSE,0.019999999999996,1,7,1,7,18
"Operation",9,"species_ok <- species_name_check[species_name_check$speciesS","species_ok <- species_name_check[species_name_check$speciesS",FALSE,0.00900000000000034,1,8,1,9,20
"Operation",10,"suggest_taxa <- suggest_flora(species_ok$species)","suggest_taxa <- suggest_flora(species_ok$species)",FALSE,0.103000000000002,1,10,1,10,49
"Operation",11,"search_taxa <- unique(suggest_taxa$species)","search_taxa <- unique(suggest_taxa$species)",FALSE,0.0440000000000005,1,11,1,11,43
"Operation",12,"list_taxa <- lapply(search_taxa, check_flora)","list_taxa <- lapply(search_taxa, check_flora)",FALSE,0.908999999999999,1,12,1,12,45
"Operation",13,"list_taxa[[1]]$taxon","list_taxa[[1]]$taxon",FALSE,0.049000000000003,1,13,1,13,20
"Operation",14,"list_taxa[[1]]$synonyms","list_taxa[[1]]$synonyms",FALSE,0.0289999999999964,1,14,1,14,23
"Operation",15,"library(modleR)","library(modleR)",FALSE,0.123000000000005,1,15,1,15,15
"Operation",16,"library(sp)","library(sp)",FALSE,0.0189999999999984,1,16,1,16,11
"Operation",17,"species <- names(example_occs)","species <- names(example_occs)",FALSE,0.0179999999999971,1,17,1,17,30
"Operation",18,"occs <- example_occs[[1]]","occs <- example_occs[[1]]",FALSE,0.0250000000000021,1,18,1,18,25
"Operation",19,"test_folder <- ""~/Dropbox/Reproducibility/rdt_new/modler_res","test_folder <- ""~/Dropbox/Reproducibility/rdt_new/modler_res",FALSE,0.027000000000001,1,19,1,19,65
"Operation",20,"sdmdata_1sp <- modleR::setup_sdmdata(species_name = species[","sdmdata_1sp <- modleR::setup_sdmdata(species_name = species[",FALSE,4.548,1,20,1,25,67
"Finish",21,"Console","Console",FALSE,2.949,1,NA,NA,NA,NA
