"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"Console","Console",FALSE,1.063,1,NA,NA,NA,NA
"Operation",2,"library(getLattes)","library(getLattes)",FALSE,0.160000000000001,1,1,1,1,18
"Operation",3,"length(xmlsLattes)","length(xmlsLattes)",FALSE,0.178,1,2,1,2,18
"Operation",4,"library(dplyr)","library(dplyr)",FALSE,0.0679999999999996,1,3,1,3,14
"Operation",5,"getDadosGerais(xmlsLattes[[2]])","getDadosGerais(xmlsLattes[[2]])",FALSE,0.0620000000000003,1,4,1,4,31
"Operation",6,"lt <- lapply(xmlsLattes, getDadosGerais)","lt <- lapply(xmlsLattes, getDadosGerais)",FALSE,0.128,1,5,1,5,40
"Operation",7,"head(bind_rows(lt))","head(bind_rows(lt))",FALSE,0.141999999999999,1,6,1,6,19
"Operation",8,"getArtigosPublicados(xmlsLattes[[2]])","getArtigosPublicados(xmlsLattes[[2]])",FALSE,0.335,1,7,1,7,37
"Operation",9,"lt <- lapply(xmlsLattes, getArtigosPublicados)","lt <- lapply(xmlsLattes, getArtigosPublicados)",FALSE,0.571,1,8,1,8,46
"Operation",10,"head(bind_rows(lt))","head(bind_rows(lt))",FALSE,0.297,1,9,1,9,19
"Finish",11,"Console","Console",FALSE,0.0480000000000009,1,NA,NA,NA,NA
