"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"Console","Console",FALSE,0.866,1,NA,NA,NA,NA
"Operation",2,"library(coronabr)","library(coronabr)",FALSE,0.366000000000001,1,1,1,1,17
"Operation",3,"dados <- get_corona_br(by_uf = TRUE)","dados <- get_corona_br(by_uf = TRUE)",FALSE,22.006,1,2,1,2,36
"Operation",4,"plot_corona_br(df = dados, log = FALSE)","plot_corona_br(df = dados, log = FALSE)",FALSE,1.874,1,3,1,3,39
"Operation",5,"plot_corona_br(df = dados, tipo = ""aumento"")","plot_corona_br(df = dados, tipo = ""aumento"")",FALSE,0.662999999999997,1,4,1,4,44
"Operation",6,"plot_uf(df = dados, n = 7)","plot_uf(df = dados, n = 7)",FALSE,0.773000000000003,1,5,1,5,26
"Operation",7,"plot_uf(df = dados, tipo = ""casos"", prop_pop = TRUE, estados","plot_uf(df = dados, tipo = ""casos"", prop_pop = TRUE, estados",FALSE,1.784,1,6,1,7,22
"Operation",8,"library(tmap)","library(tmap)",FALSE,2.192,1,8,1,8,13
"Operation",9,"data(""World"")","data(""World"")",FALSE,0.321999999999996,1,9,1,9,13
"Operation",10,"fora <- c(""Canada"", ""United States"", ""Greenland"")","fora <- c(""Canada"", ""United States"", ""Greenland"")",FALSE,0.143999999999998,1,10,1,10,49
"Operation",11,"lac <- World[World$continent %in% c(""South America"", ""North ","lac <- World[World$continent %in% c(""South America"", ""North ",FALSE,0.0350000000000037,1,11,1,12,28
"Operation",12,"dados_jhu <- get_corona_jhu()","dados_jhu <- get_corona_jhu()",FALSE,1.862,1,13,1,13,29
"Operation",13,"lac$name[!lac$name %in% dados_jhu$country_region]","lac$name[!lac$name %in% dados_jhu$country_region]",FALSE,0.589999999999996,1,14,1,14,49
"Operation",14,"lac$country_region <- as.character(lac$name)","lac$country_region <- as.character(lac$name)",FALSE,0.0200000000000031,1,15,1,15,44
"Operation",15,"lac$country_region[lac$country_region == ""Dominican Rep.""] <","lac$country_region[lac$country_region == ""Dominican Rep.""] <",FALSE,0.0839999999999961,1,16,1,16,82
"Operation",16,"dados_lac <- dados_jhu[dados_jhu$country_region %in% lac$cou","dados_lac <- dados_jhu[dados_jhu$country_region %in% lac$cou",FALSE,0.0650000000000048,1,17,1,18,5
"Operation",17,"df_lac <- aggregate(confirmed ~ country_region, data = dados","df_lac <- aggregate(confirmed ~ country_region, data = dados",FALSE,0.0719999999999956,1,19,1,20,14
"Finish",18,"Console","Console",FALSE,0.116,1,NA,NA,NA,NA
