"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"File",1,"iconvlist","data/1-iconvlist","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","namespace:base",FALSE,"2020-06-23T09.11.46-03","70810d779f01dd7ba82b7ed4c3d0b166","/usr/lib/R/library/utils/iconvlist"
"File",2,"CITATION","data/2-CITATION","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-09-17T15.37.03-03","524ed8e9a8aa72f675b46b5262501b16","/usr/lib/rstudio/resources/CITATION"
"Snapshot",3,"dados","data/3-dados.csv","{""container"":""data_frame"", ""dimension"":[8239,18], ""type"":[""character"",""numeric"",""Date"",""numeric"",""numeric"",""numeric"",""logical"",""logical"",""numeric"",""numeric"",""Date"",""numeric"",""numeric"",""numeric"",""character"",""factor"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"2021-01-12T12.44.05-03","",""
"File",4,"corona_brasil.csv","data/4-corona_brasil.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-01-12T12.44.03-03","8af6c713db8b116613fb5d612b254dd5","/home/mondelli/outputs/corona_brasil.csv"
"File",5,"corona_brasil_metadado.csv","data/5-corona_brasil_metadado.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-01-12T12.44.03-03","99efac8d746ed3b53e27b9cf81c4c795","/home/mondelli/outputs/corona_brasil_metadado.csv"
"Snapshot",6,".ggplot","data/6-.ggplot.txt","gg","undefined",FALSE,"2021-01-12T12.44.07-03","",""
"Device",7,"dev.2","","Device","undefined",FALSE,"","",""
"Snapshot",8,".ggplot","data/8-.ggplot.txt","gg","undefined",FALSE,"2021-01-12T12.45.23-03","",""
"Device",9,"dev.2","","Device","undefined",FALSE,"","",""
"Snapshot",10,".ggplot","data/10-.ggplot.txt","gg","undefined",FALSE,"2021-01-12T12.45.26-03","",""
"Device",11,"dev.2","","Device","undefined",FALSE,"","",""
"Snapshot",12,".ggplot","data/12-.ggplot.txt","gg","undefined",FALSE,"2021-01-12T12.45.26-03","",""
"Device",13,"dev.2","","Device","undefined",FALSE,"","",""
"File",14,"World.rda","data/14-World.rda","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-12-16T21.41.04-03","3f544f2d855ec928c21bdcdbd1c86b1c","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/tmap/data/World.rda"
"Snapshot",15,"World","data/15-World.csv","{""container"":""data_frame"", ""dimension"":[177,16], ""type"":[""factor"",""factor"",""factor"",""factor"",""units"",""numeric"",""numeric"",""factor"",""factor"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""sfc_MULTIPOLYGON""]}","R_GlobalEnv",FALSE,"2021-01-12T12.45.40-03","",""
"Data",16,"fora","""Canada""        ""United States"" ""Greenland""    ","{""container"":""vector"", ""dimension"":[3], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Snapshot",17,"lac","data/17-lac.csv","{""container"":""data_frame"", ""dimension"":[28,16], ""type"":[""factor"",""factor"",""factor"",""factor"",""units"",""numeric"",""numeric"",""factor"",""factor"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""sfc_MULTIPOLYGON""]}","R_GlobalEnv",FALSE,"2021-01-12T12.45.44-03","",""
"URL",18,"https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/01-11-2021.csv","data/18-01-11-2021.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2021-01-12T12.45.59-03","e8c87ff995dda5ad118940e452d20c0d",""
"Snapshot",19,"dados_jhu","data/19-dados_jhu.csv","{""container"":""data_frame"", ""dimension"":[3977,14], ""type"":[""integer"",""character"",""character"",""character"",""character"",""numeric"",""numeric"",""integer"",""integer"",""integer"",""integer"",""character"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"2021-01-12T12.46.00-03","",""
"File",20,"corona_jhu.csv","data/20-corona_jhu.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-01-12T12.45.47-03","5bd30e35add4dd62869cb794379f1efa","/home/mondelli/outputs/corona_jhu.csv"
"File",21,"corona_jhu_metadado.csv","data/21-corona_jhu_metadado.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-01-12T12.45.47-03","743718708b2f0a763a12c35bb68c7bb7","/home/mondelli/outputs/corona_jhu_metadado.csv"
"Snapshot",22,"lac","data/22-lac.csv","{""container"":""data_frame"", ""dimension"":[28,17], ""type"":[""factor"",""factor"",""factor"",""factor"",""units"",""numeric"",""numeric"",""factor"",""factor"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""sfc_MULTIPOLYGON"",""character""]}","R_GlobalEnv",FALSE,"2021-01-12T12.46.03-03","",""
"Snapshot",23,"lac","data/23-lac.csv","{""container"":""data_frame"", ""dimension"":[28,17], ""type"":[""factor"",""factor"",""factor"",""factor"",""units"",""numeric"",""numeric"",""factor"",""factor"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""sfc_MULTIPOLYGON"",""character""]}","R_GlobalEnv",FALSE,"2021-01-12T12.46.03-03","",""
"Snapshot",24,"dados_lac","data/24-dados_lac.csv","{""container"":""data_frame"", ""dimension"":[158,14], ""type"":[""integer"",""character"",""character"",""character"",""character"",""numeric"",""numeric"",""integer"",""integer"",""integer"",""integer"",""character"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"2021-01-12T12.46.04-03","",""
"Snapshot",25,"df_lac","data/25-df_lac.csv","{""container"":""data_frame"", ""dimension"":[26,2], ""type"":[""character"",""integer""]}","R_GlobalEnv",FALSE,"2021-01-12T12.46.04-03","",""
"File",26,"dev.off.26.pdf","data/26-dev.off.26.pdf","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-01-12T12.46.16-03","b8d8077181bb12ceb5d03352c2a39c3b","/home/mondelli/dev.off.26.pdf"
